Temporada_x,Jornada,Equipo Local,Equipo Visitante,Local,Empate,Visitante,Pronóstico,Real,40%,45%,50%,55%,60%,Label,Temporada_y,HomeTeam,AwayTeam,B365H,B365D,B365A,B365HD,B365HA,B365DA,HnoD,AnoD
2013-14,11,Betis,Levante,0.4771472721502372,0.22222778424058126,0.2750662032566563,L,E,L,L,LE,LE,LE,2013-14BetisLevante,2013-14,Betis,Levante,1.8,3.5,4.5,1.204225352112676,1.303921568627451,2.011764705882353,1.3114285714285714,3.278571428571429
2013-14,11,AthleticClub,Elche,0.6315232248756051,0.22810290588132315,0.15303915124007766,L,E,L,L,L,L,L,2013-14AthleticClubElche,2013-14,AthleticClub,Elche,1.62,3.75,5.5,1.1483516483516483,1.2723214285714284,2.297014925373134,1.2096,4.106666666666667
2013-14,11,Granada,AtléticodeMadrid,0.15792266553829454,0.2582467434310383,0.6757004856054083,V,V,V,V,V,V,V,2013-14GranadaAtléticodeMadrid,2013-14,Granada,AtléticodeMadrid,6.0,4.0,1.53,2.5060344827586207,1.2459016393442623,1.1287128712871286,4.574999999999999,1.166625
2013-14,11,Villarreal,Getafe,0.6747461340755766,0.20997645697352205,0.13422554242509296,L,V,L,L,L,L,L,2013-14VillarrealGetafe,2013-14,Villarreal,Getafe,1.44,4.2,7.5,1.0877862595419847,1.2276923076923076,2.791836734693878,1.114285714285714,5.803571428571429
2013-14,11,Osasuna,RayoVallecano,0.5779694066759344,0.2232844443347686,0.19042406057437736,L,L,L,L,L,L,LE,2013-14OsasunaRayoVallecano,2013-14,Osasuna,RayoVallecano,2.1,3.3,3.5,1.303921568627451,1.3340425531914892,1.734782608695652,1.4954545454545458,2.4924242424242427
2013-14,11,Valencia,Almería,0.6689994435633143,0.24282706169152724,0.12421093161278861,L,V,L,L,L,L,L,2013-14ValenciaAlmería,2013-14,Valencia,Almería,1.4,4.5,8.0,1.0780141843971631,1.204225352112676,2.9555555555555557,1.1044444444444443,6.311111111111111
2013-14,11,Valladolid,RealSociedad,0.4373598838671514,0.2310203617927939,0.31188006926027173,L,E,L,LE,LE,LE,LE,2013-14ValladolidRealSociedad,2013-14,Valladolid,RealSociedad,2.8,3.3,2.5,1.532258064516129,1.3340425531914892,1.4378378378378378,1.993939393939394,1.7803030303030305
2013-14,11,CeltadeVigo,Barcelona,0.12937806058936124,0.28005644057961326,0.7164254130137843,V,V,V,V,V,V,V,2013-14CeltadeVigoBarcelona,2013-14,CeltadeVigo,Barcelona,10.0,5.5,1.29,3.604411764705882,1.1483516483516483,1.0497237569060773,8.272727272727272,1.0671818181818182
2013-14,11,Espanyol,Málaga,0.5069796016069003,0.2599689001185607,0.2227161145862929,L,E,L,L,L,LE,LE,2013-14EspanyolMálaga,2013-14,Espanyol,Málaga,1.91,3.3,4.2,1.2276923076923076,1.3340425531914892,1.890104166666667,1.3601515151515151,2.9909090909090916
2013-14,11,RealMadrid,Sevilla,0.6847207605956696,0.25018733769955154,0.11167597289139544,L,L,L,L,L,L,L,2013-14RealMadridSevilla,2013-14,RealMadrid,Sevilla,1.18,7.0,13.0,1.0248962655601659,1.0991735537190082,4.873913043478263,1.0198571428571428,11.235714285714286
2013-14,12,AtléticodeMadrid,AthleticClub,0.8455183666940083,0.1683034903482865,0.05826152673816785,L,L,L,L,L,L,L,2013-14AtléticodeMadridAthleticClub,2013-14,AtléticodeMadrid,AthleticClub,1.3,5.0,11.0,1.0398009950248757,1.1728395061728396,3.5285714285714294,1.053,8.91
2013-14,12,Elche,Villarreal,0.3119899726494874,0.25746407164827767,0.43483298537743453,V,V,V,VE,VE,VE,VE,2013-14ElcheVillarreal,2013-14,Elche,Villarreal,3.3,3.3,2.2,1.6720000000000002,1.3340425531914892,1.3340425531914892,2.35,1.5666666666666669
2013-14,12,Málaga,Betis,0.563080366526403,0.2223297271657578,0.20023476344647406,L,L,L,L,L,L,LE,2013-14MálagaBetis,2013-14,Málaga,Betis,2.05,3.4,3.6,1.290566037735849,1.3183673469387756,1.7704545454545453,1.4772058823529413,2.5941176470588236
2013-14,12,Levante,Granada,0.5987057296330693,0.18049048120029157,0.21170875737766637,L,V,L,L,L,L,LE,2013-14LevanteGranada,2013-14,Levante,Granada,2.05,3.3,3.6,1.290566037735849,1.3340425531914892,1.7704545454545453,1.4598484848484852,2.5636363636363635
2013-14,12,Getafe,Valencia,0.6441446595360575,0.2191872979314382,0.1501391781344239,L,V,L,L,L,L,L,2013-14GetafeValencia,2013-14,Getafe,Valencia,2.6,3.2,2.75,1.4513888888888888,1.3511111111111112,1.496969696969697,1.828125,1.9335937500000002
2013-14,12,Sevilla,CeltadeVigo,0.43283246525384106,0.25879772333507695,0.29455789139375593,L,V,L,LE,LE,LE,LE,2013-14SevillaCeltadeVigo,2013-14,Sevilla,CeltadeVigo,1.5,4.33,6.0,1.1287128712871286,1.2170118343195266,2.5909090909090904,1.1709006928406465,4.683602771362586
2013-14,12,RayoVallecano,RealMadrid,0.18229802108459373,0.2959439398201743,0.6016072485915611,V,V,V,V,V,V,V,2013-14RayoVallecanoRealMadrid,2013-14,RayoVallecano,RealMadrid,11.0,6.0,1.25,3.9583333333333335,1.1287128712871286,1.0398009950248757,9.258333333333333,1.0520833333333335
