Temporada_x,Jornada,Pronóstico,Real,40%,45%,50%,55%,60%,CUOTA pred,CUOTA 40,CUOTA 45,CUOTA 50,CUOTA 55,CUOTA 60,Aciertos pred,Aciertos 40,Aciertos 45,Aciertos 50,Aciertos 55,Aciertos 60,Label
2013-14,11,L,E,L,L,LV,LV,LV,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1411
2013-14,11,L,E,L,L,L,L,L,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1411
2013-14,11,V,V,V,V,V,V,V,1.53,1.53,1.53,1.53,1.53,1.53,1,1,1,1,1,1,2013-1411
2013-14,11,L,V,L,L,L,L,L,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1411
2013-14,11,L,L,L,L,L,L,LE,2.1,2.1,2.1,2.1,2.1,1.3,1,1,1,1,1,1,2013-1411
2013-14,11,L,V,L,L,L,L,L,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1411
2013-14,11,L,E,L,LV,LV,LV,LV,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1411
2013-14,11,V,V,V,V,V,V,V,1.29,1.29,1.29,1.29,1.29,1.29,1,1,1,1,1,1,2013-1411
2013-14,11,L,E,L,L,L,LE,LE,0.0,0.0,0.0,0.0,1.23,1.23,0,0,0,0,1,1,2013-1411
2013-14,11,L,L,L,L,L,L,L,1.18,1.18,1.18,1.18,1.18,1.18,1,1,1,1,1,1,2013-1411
2013-14,12,L,L,L,L,L,L,L,1.3,1.3,1.3,1.3,1.3,1.3,1,1,1,1,1,1,2013-1412
2013-14,12,V,V,V,LV,LV,LV,LV,2.2,2.2,1.33,1.33,1.33,1.33,1,1,1,1,1,1,2013-1412
2013-14,12,L,L,L,L,L,L,LE,2.05,2.05,2.05,2.05,2.05,1.29,1,1,1,1,1,1,2013-1412
2013-14,12,L,V,L,L,L,L,LV,0.0,0.0,0.0,0.0,0.0,1.33,0,0,0,0,0,1,2013-1412
2013-14,12,L,V,L,L,L,L,L,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1412
2013-14,12,L,V,L,LV,LV,LV,LV,0.0,0.0,1.22,1.22,1.22,1.22,0,0,1,1,1,1,2013-1412
2013-14,12,V,V,V,V,V,V,V,1.25,1.25,1.25,1.25,1.25,1.25,1,1,1,1,1,1,2013-1412
2013-14,12,V,L,LV,LV,LV,LV,LV,0.0,1.33,1.33,1.33,1.33,1.33,0,1,1,1,1,1,2013-1412
2013-14,12,L,L,L,L,L,L,LE,1.57,1.57,1.57,1.57,1.57,1.14,1,1,1,1,1,1,2013-1412
2013-14,12,L,L,L,L,L,L,L,1.09,1.09,1.09,1.09,1.09,1.09,1,1,1,1,1,1,2013-1412
2013-14,13,V,V,V,V,V,V,V,1.25,1.25,1.25,1.25,1.25,1.25,1,1,1,1,1,1,2013-1413
2013-14,13,V,E,V,LV,LV,LV,LV,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1413
2013-14,13,L,E,L,L,LV,LV,LV,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1413
2013-14,13,L,V,L,L,LE,LE,LE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1413
2013-14,13,L,V,L,L,L,L,L,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1413
2013-14,13,L,L,L,L,L,L,L,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,2013-1413
2013-14,13,L,E,L,L,L,LE,LE,0.0,0.0,0.0,0.0,1.27,1.27,0,0,0,0,1,1,2013-1413
2013-14,13,L,L,L,L,L,L,L,1.14,1.14,1.14,1.14,1.14,1.14,1,1,1,1,1,1,2013-1413
2013-14,13,L,L,L,LV,LV,LV,LV,2.3,2.3,1.35,1.35,1.35,1.35,1,1,1,1,1,1,2013-1413
2013-14,13,L,V,L,L,LV,LV,LV,0.0,0.0,0.0,1.32,1.32,1.32,0,0,0,1,1,1,2013-1413
2013-14,14,L,L,L,L,L,L,L,1.67,1.67,1.67,1.67,1.67,1.67,1,1,1,1,1,1,2013-1414
2013-14,14,L,L,L,L,LV,LV,LV,2.75,2.75,2.75,1.33,1.33,1.33,1,1,1,1,1,1,2013-1414
2013-14,14,L,V,L,LV,LV,LV,LV,0.0,0.0,1.33,1.33,1.33,1.33,0,0,1,1,1,1,2013-1414
2013-14,14,V,V,LV,LV,LV,LV,LV,2.1,1.33,1.33,1.33,1.33,1.33,1,1,1,1,1,1,2013-1414
2013-14,14,L,V,L,LV,LV,LV,LV,0.0,0.0,1.34,1.34,1.34,1.34,0,0,1,1,1,1,2013-1414
2013-14,14,V,V,V,V,V,V,VE,1.29,1.29,1.29,1.29,1.29,1.06,1,1,1,1,1,1,2013-1414
2013-14,14,L,L,L,L,L,LE,LE,1.67,1.67,1.67,1.67,1.16,1.16,1,1,1,1,1,1,2013-1414
2013-14,14,L,L,L,L,L,L,L,1.13,1.13,1.13,1.13,1.13,1.13,1,1,1,1,1,1,2013-1414
2013-14,14,L,V,L,L,L,LV,LV,0.0,0.0,0.0,0.0,1.32,1.32,0,0,0,0,1,1,2013-1414
2013-14,14,L,L,L,L,L,L,L,1.22,1.22,1.22,1.22,1.22,1.22,1,1,1,1,1,1,2013-1414
2013-14,15,V,L,V,V,V,V,VE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1415
2013-14,15,L,L,L,L,L,L,LE,1.4,1.4,1.4,1.4,1.4,1.08,1,1,1,1,1,1,2013-1415
2013-14,15,L,V,L,LV,LV,LV,LV,0.0,0.0,1.34,1.34,1.34,1.34,0,0,1,1,1,1,2013-1415
2013-14,15,L,E,L,L,L,LE,LE,0.0,0.0,0.0,0.0,1.25,1.25,0,0,0,0,1,1,2013-1415
2013-14,15,L,V,L,L,LE,LE,LE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1415
2013-14,15,L,L,L,L,L,L,L,1.13,1.13,1.13,1.13,1.13,1.13,1,1,1,1,1,1,2013-1415
2013-14,15,L,L,LV,LV,LV,LV,LV,1.91,1.32,1.32,1.32,1.32,1.32,1,1,1,1,1,1,2013-1415
2013-14,15,V,V,V,V,V,V,VE,1.5,1.5,1.5,1.5,1.5,1.1,1,1,1,1,1,1,2013-1415
2013-14,15,L,E,L,L,L,L,L,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1415
2013-14,15,L,L,L,L,L,L,LV,1.83,1.83,1.83,1.83,1.83,1.32,1,1,1,1,1,1,2013-1415
2013-14,16,L,L,L,L,L,L,L,1.33,1.33,1.33,1.33,1.33,1.33,1,1,1,1,1,1,2013-1416
2013-14,16,L,E,L,L,L,LV,LV,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1416
2013-14,16,L,L,L,L,L,L,L,1.73,1.73,1.73,1.73,1.73,1.73,1,1,1,1,1,1,2013-1416
2013-14,16,V,E,LV,LV,LV,LV,LV,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1416
2013-14,16,V,L,LV,LV,LV,LV,LV,0.0,1.34,1.34,1.34,1.34,1.34,0,1,1,1,1,1,2013-1416
2013-14,16,L,L,L,L,L,L,L,1.29,1.29,1.29,1.29,1.29,1.29,1,1,1,1,1,1,2013-1416
2013-14,16,L,V,L,LV,LV,LV,LV,0.0,0.0,1.33,1.33,1.33,1.33,0,0,1,1,1,1,2013-1416
2013-14,16,V,E,V,V,V,V,V,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1416
2013-14,16,L,L,L,LV,LV,LV,LV,2.3,2.3,1.37,1.37,1.37,1.37,1,1,1,1,1,1,2013-1416
2013-14,16,L,L,L,L,LV,LV,LV,2.0,2.0,2.0,1.32,1.32,1.32,1,1,1,1,1,1,2013-1416
2013-14,17,L,E,L,L,L,LV,LV,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1417
2013-14,17,L,L,L,L,L,L,L,1.44,1.44,1.44,1.44,1.44,1.44,1,1,1,1,1,1,2013-1417
2013-14,17,V,V,V,V,V,V,V,1.4,1.4,1.4,1.4,1.4,1.4,1,1,1,1,1,1,2013-1417
2013-14,17,L,L,L,L,LV,LV,LV,1.8,1.8,1.8,1.32,1.32,1.32,1,1,1,1,1,1,2013-1417
2013-14,17,V,V,V,V,V,VE,VE,1.57,1.57,1.57,1.57,1.15,1.15,1,1,1,1,1,1,2013-1417
2013-14,17,L,L,L,L,L,L,L,1.14,1.14,1.14,1.14,1.14,1.14,1,1,1,1,1,1,2013-1417
2013-14,17,L,V,L,L,LV,LV,LV,0.0,0.0,0.0,1.27,1.27,1.27,0,0,0,1,1,1,2013-1417
2013-14,17,L,V,L,L,L,LE,LE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1417
2013-14,17,L,V,L,LV,LV,LV,LV,0.0,0.0,1.35,1.35,1.35,1.35,0,0,1,1,1,1,2013-1417
2013-14,17,L,V,L,LV,LV,LV,LV,0.0,0.0,1.33,1.33,1.33,1.33,0,0,1,1,1,1,2013-1417
2013-14,18,V,V,V,V,V,VE,VE,2.15,2.15,2.15,2.15,1.33,1.33,1,1,1,1,1,1,2013-1418
2013-14,18,L,L,L,L,L,L,L,1.1,1.1,1.1,1.1,1.1,1.1,1,1,1,1,1,1,2013-1418
2013-14,18,L,L,L,L,L,L,L,2.15,2.15,2.15,2.15,2.15,2.15,1,1,1,1,1,1,2013-1418
2013-14,18,L,L,LV,LV,LV,LV,LV,2.4,1.35,1.35,1.35,1.35,1.35,1,1,1,1,1,1,2013-1418
2013-14,18,L,L,L,L,L,L,L,1.07,1.07,1.07,1.07,1.07,1.07,1,1,1,1,1,1,2013-1418
2013-14,18,L,L,L,L,L,L,L,1.53,1.53,1.53,1.53,1.53,1.53,1,1,1,1,1,1,2013-1418
2013-14,18,L,L,L,L,L,L,LV,1.44,1.44,1.44,1.44,1.44,1.23,1,1,1,1,1,1,2013-1418
2013-14,18,L,E,L,L,L,L,L,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1418
2013-14,18,V,V,V,V,V,V,V,1.53,1.53,1.53,1.53,1.53,1.53,1,1,1,1,1,1,2013-1418
2013-14,18,L,L,L,LV,LV,LV,LV,2.4,2.4,1.35,1.35,1.35,1.35,1,1,1,1,1,1,2013-1418
2013-14,19,L,V,L,L,LV,LV,LV,0.0,0.0,0.0,1.3,1.3,1.3,0,0,0,1,1,1,2013-1419
2013-14,19,L,L,L,LV,LV,LV,LV,2.5,2.5,1.35,1.35,1.35,1.35,1,1,1,1,1,1,2013-1419
2013-14,19,V,V,V,V,V,V,VE,1.33,1.33,1.33,1.33,1.33,1.09,1,1,1,1,1,1,2013-1419
2013-14,19,L,V,L,L,L,L,LE,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1419
2013-14,19,L,L,L,L,L,LE,LE,1.91,1.91,1.91,1.91,1.25,1.25,1,1,1,1,1,1,2013-1419
2013-14,19,L,E,L,L,L,L,LV,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1419
2013-14,19,L,L,L,L,LV,LV,LV,3.1,3.1,3.1,1.33,1.33,1.33,1,1,1,1,1,1,2013-1419
2013-14,19,L,L,L,L,L,L,L,1.4,1.4,1.4,1.4,1.4,1.4,1,1,1,1,1,1,2013-1419
2013-14,19,L,L,L,LV,LV,LV,LV,2.0,2.0,1.33,1.33,1.33,1.33,1,1,1,1,1,1,2013-1419
2013-14,19,V,E,LV,LV,LV,LV,LV,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1419
2013-14,20,L,L,L,L,L,L,L,1.36,1.36,1.36,1.36,1.36,1.36,1,1,1,1,1,1,2013-1420
2013-14,20,L,E,L,L,L,L,L,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1420
2013-14,20,V,E,V,V,V,V,V,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1420
2013-14,20,L,L,L,L,L,L,L,1.33,1.33,1.33,1.33,1.33,1.33,1,1,1,1,1,1,2013-1420
2013-14,20,L,E,L,LV,LV,LV,LV,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1420
2013-14,20,L,L,L,LV,LV,LV,LV,2.0,2.0,1.34,1.34,1.34,1.34,1,1,1,1,1,1,2013-1420
2013-14,20,L,E,L,L,L,LV,LV,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2013-1420
2013-14,20,L,L,L,L,L,LE,LE,2.38,2.38,2.38,2.38,1.39,1.39,1,1,1,1,1,1,2013-1420
2013-14,20,V,V,V,V,V,V,V,1.29,1.29,1.29,1.29,1.29,1.29,1,1,1,1,1,1,2013-1420
2013-14,20,L,E,L,L,L,LE,LE,0.0,0.0,0.0,0.0,1.49,1.49,0,0,0,0,1,1,2013-1420
2013-14,21,L,L,L,L,L,L,L,1.08,1.08,1.08,1.08,1.08,1.08,1,1,1,1,1,1,2013-1421
2013-14,21,V,V,V,V,V,V,V,1.4,1.4,1.4,1.4,1.4,1.4,1,1,1,1,1,1,2013-1421
