,Jornada,PREMIOS PRED,PREMIOS 40,PREMIOS 45,PREMIOS 50,PREMIOS 55,PREMIOS 60,Inversion
0,2013-1411,0.0,0.0,0.0,0.0,0.0,0.0,1
1,2013-1412,0.0,0.0,0.0,0.0,0.0,0.0,2
2,2013-1413,0.0,0.0,0.0,0.0,0.0,0.0,3
3,2013-1414,0.0,0.0,0.0,0.0,0.0,0.0,4
4,2013-1415,0.0,0.0,0.0,0.0,0.0,0.0,5
5,2013-1416,0.0,0.0,0.0,0.0,0.0,0.0,6
6,2013-1417,0.0,0.0,0.0,0.0,0.0,0.0,7
7,2013-1418,0.0,0.0,0.0,0.0,0.0,0.0,8
8,2013-1419,0.0,0.0,0.0,0.0,0.0,0.0,9
9,2013-1420,0.0,0.0,0.0,0.0,0.0,0.0,10
10,2013-1421,0.0,0.0,0.0,0.0,0.0,0.0,11
11,2013-1422,0.0,0.0,0.0,0.0,0.0,0.0,12
12,2013-1423,0.0,0.0,0.0,0.0,0.0,0.0,13
13,2013-1424,0.0,0.0,0.0,0.0,0.0,0.0,14
14,2013-1425,0.0,0.0,0.0,0.0,0.0,0.0,15
15,2013-1426,0.0,0.0,0.0,0.0,0.0,0.0,16
16,2013-1427,0.0,0.0,0.0,0.0,0.0,0.0,17
17,2013-1428,0.0,0.0,0.0,0.0,0.0,0.0,18
18,2013-1429,0.0,0.0,0.0,0.0,0.0,0.0,19
19,2013-1430,0.0,0.0,0.0,0.0,0.0,0.0,20
20,2013-1431,0.0,0.0,0.0,0.0,0.0,0.0,21
21,2013-1432,0.0,0.0,0.0,0.0,0.0,0.0,22
22,2013-1433,0.0,0.0,0.0,0.0,0.0,0.0,23
23,2013-1434,0.0,0.0,0.0,0.0,0.0,0.0,24
24,2013-1435,0.0,0.0,0.0,0.0,0.0,0.0,25
25,2013-1436,0.0,0.0,0.0,0.0,0.0,0.0,26
26,2014-1511,0.0,0.0,0.0,0.0,0.0,0.0,27
27,2014-1512,0.0,0.0,0.0,0.0,0.0,0.0,28
28,2014-1513,0.0,0.0,0.0,0.0,0.0,0.0,29
29,2014-1514,0.0,0.0,0.0,0.0,0.0,0.0,30
30,2014-1515,0.0,0.0,0.0,0.0,0.0,0.0,31
31,2014-1516,0.0,0.0,0.0,0.0,0.0,0.0,32
32,2014-1517,0.0,0.0,0.0,0.0,0.0,0.0,33
33,2014-1518,0.0,0.0,0.0,0.0,0.0,0.0,34
34,2014-1519,0.0,0.0,0.0,0.0,0.0,0.0,35
35,2014-1520,0.0,0.0,0.0,0.0,16.75,10.05,36
36,2014-1521,0.0,0.0,0.0,0.0,16.75,10.05,37
37,2014-1522,0.0,0.0,0.0,0.0,16.75,10.05,38
38,2014-1523,0.0,0.0,0.0,0.0,16.75,10.05,39
39,2014-1524,0.0,0.0,0.0,0.0,16.75,10.05,40
40,2014-1525,0.0,0.0,0.0,0.0,16.75,10.05,41
41,2014-1526,0.0,0.0,0.0,0.0,16.75,10.05,42
42,2014-1527,0.0,0.0,0.0,0.0,16.75,10.05,43
43,2014-1528,0.0,0.0,0.0,0.0,16.75,10.05,44
44,2014-1529,0.0,0.0,0.0,0.0,16.75,10.05,45
45,2014-1530,0.0,0.0,0.0,0.0,16.75,10.05,46
46,2014-1531,0.0,0.0,0.0,0.0,16.75,10.05,47
47,2014-1532,0.0,0.0,0.0,0.0,16.75,10.05,48
48,2014-1533,0.0,0.0,0.0,0.0,16.75,10.05,49
49,2014-1534,0.0,0.0,0.0,0.0,16.75,10.05,50
50,2014-1535,0.0,0.0,0.0,0.0,16.75,10.05,51
51,2014-1536,0.0,0.0,0.0,0.0,16.75,10.05,52
52,2015-1611,0.0,0.0,0.0,0.0,16.75,10.05,53
53,2015-1612,0.0,0.0,0.0,0.0,16.75,10.05,54
54,2015-1613,0.0,0.0,0.0,0.0,16.75,10.05,55
55,2015-1614,0.0,0.0,0.0,0.0,16.75,10.05,56
56,2015-1615,0.0,0.0,0.0,0.0,16.75,10.05,57
57,2015-1616,0.0,0.0,0.0,0.0,16.75,10.05,58
58,2015-1617,0.0,0.0,0.0,0.0,16.75,10.05,59
59,2015-1618,0.0,0.0,0.0,0.0,16.75,10.05,60
60,2015-1619,0.0,0.0,0.0,43.44,43.64,20.82,61
61,2015-1620,0.0,0.0,0.0,43.44,43.64,20.82,62
62,2015-1621,0.0,0.0,0.0,43.44,43.64,20.82,63
63,2015-1622,0.0,0.0,0.0,43.44,43.64,20.82,64
64,2015-1623,0.0,0.0,0.0,43.44,43.64,20.82,65
