Temporada,Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado,Goles Local,Goles Visitante,Penaltis Local,Target,Penaltis Visitante,Arbitro,Amarillas Local,Amarillas Visitante,Rojas Local,Rojas Visitante,Minutos Goles L,Goleadores L,Minutos Goles V,Goleadores V,PTOS L,PTOS V,POSC L,POSC V,FORMA L,FORMA V,Pr PTOS L,Pr PTOS V,Pr G AF L,Pr G AF V,Pr G EC L,Pr G EC  V,Pr TA L,Pr TA V,Pr TR L,Pr TR V,Pr TA ARB,Pr TR ARB
1,09/09/2000,1,Barcelona,Málaga,2-1,2,1,0,L,0,Mejuto González,1,2,0,0,"[""29'"", ""35'""]","['Rivaldo ', 'Rivaldo ']","[""75'""]",['Darío Silva '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,09/09/2000,1,DeportivodeLaCoruña,AthleticClub,2-0,2,0,1,L,0,Andradas Asurmendi,2,1,0,0,"[""53'"", ""89'""]","['Víctor ', 'Pandiani ']",[],[],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,09/09/2000,1,RealSociedad,RacingdeSantander,2-2,2,2,1,E,1,Prados García,3,1,0,0,"[""50'"", ""77'""]","['Idiakez ', 'Jankauskas ']","[""88'"", ""89'""]","['Beschastnykh ', 'Morán ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,09/09/2000,1,RealMadrid,Valencia,2-1,2,1,0,L,1,Daudén Ibáñez,4,6,0,0,"[""77'"", ""85'""]","['Raúl ', 'Figo ']","[""75'""]",['Mendieta '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,09/09/2000,1,Zaragoza,Espanyol,1-2,1,2,0,V,1,Turienzo Álvarez,3,4,1,0,"[""66'""]",['Acuña '],"[""87'"", ""89'""]","['Gâlcă ', 'Serrano ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10/09/2000,1,LasPalmas,Alavés,0-3,0,3,0,V,0,Puentes Leira,1,2,0,0,[],[],"[""1'"", ""60'"", ""65'""]","['Geli ', 'Javi Moreno ', 'Javi Moreno ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10/09/2000,1,Mallorca,Valladolid,1-1,1,1,0,E,0,Pérez Lasa,2,6,0,0,"[""3'""]",['Ibagaza '],"[""71'""]",['Turiel '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10/09/2000,1,Numancia,Oviedo,1-0,1,0,0,L,0,Undiano Mallenco,1,4,0,0,"[""86'""]",['Delgado '],[],[],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10/09/2000,1,Osasuna,CeltadeVigo,0-2,0,2,0,V,0,Muñiz Fernández,1,2,0,0,[],[],"[""80'"", ""84'""]","['Catanha ', 'Manolo Sánchez ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10/09/2000,1,Villarreal,RayoVallecano,1-5,1,5,0,V,1,Pérez Burrull,2,4,0,0,"[""47'""]",['Víctor '],"[""23'"", ""28'"", ""44'"", ""56'"", ""87'""]","['Luis Cembranos ', 'Quevedo ', 'Bolo ', 'Luis Cembranos ', 'Hélder ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,17/09/2000,2,Oviedo,LasPalmas,2-2,2,2,0,E,1,Medina Cantalejo,3,4,0,0,"[""61'"", ""89'""]","['Losada ', 'Danjou ']","[""38'"", ""70'""]","['Jarni ', 'Pablo Lago ']",0,0,20,15,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1,17/09/2000,2,RayoVallecano,Zaragoza,0-0,0,0,0,E,0,Iturralde González,2,1,0,0,[],[],[],[],3,0,8,16,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0
1,17/09/2000,2,Espanyol,Osasuna,1-2,1,2,0,V,0,Losantos Omar,1,1,0,0,"[""86'""]",['Manel '],"[""56'"", ""89'""]","['Propia Puerta', 'Iván Rosado ']",3,0,6,14,,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
1,17/09/2000,2,Alavés,Villarreal,0-1,0,1,0,V,0,Megía Dávila,1,2,0,1,[],[],"[""68'""]",['Víctor '],3,0,5,13,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
1,17/09/2000,2,CeltadeVigo,RealSociedad,4-1,4,1,0,L,1,Esquinas Torres,0,1,0,0,"[""32'"", ""35'"", ""37'"", ""84'""]","['Gustavo López ', 'Catanha ', 'Mostovoi ', 'Jesuli ']","[""81'""]",['De Pedro '],3,1,4,12,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
1,16/09/2000,2,RacingdeSantander,DeportivodeLaCoruña,0-3,0,3,0,V,0,Ramírez Domínguez,3,2,1,0,[],[],"[""34'"", ""58'"", ""83'""]","['Valerón ', 'Manuel Pablo ', 'Fran ']",1,3,9,2,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
1,16/09/2000,2,Valencia,Mallorca,4-0,4,0,1,L,0,Llonch Andreu,1,4,0,0,"[""31'"", ""49'"", ""60'"", ""68'""]","['Mendieta ', 'Mendieta ', 'Vicente ', 'Juan Sánchez ']",[],[],0,1,17,11,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
1,16/09/2000,2,Málaga,RealMadrid,3-3,3,3,0,E,0,Fernández Marín,6,2,0,0,"[""33'"", ""47'"", ""57'""]","['Dely Valdés ', 'Agostinho ', 'Movilla ']","[""17'"", ""59'"", ""81'""]","['Raúl ', 'Celades ', 'Guti ']",0,3,18,3,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
