Temporada,Fecha,Jornada,Equipo Local,Equipo Visitante,Resultado,Goles Local,Goles Visitante,Penaltis Local,Target,Penaltis Visitante,Arbitro,Amarillas Local,Amarillas Visitante,Rojas Local,Rojas Visitante,Minutos Goles L,Goleadores L,Minutos Goles V,Goleadores V,PTOS L,PTOS V,POSC L,POSC V,FORMA L,FORMA V,Pr PTOS L,Pr PTOS V,Pr G AF L,Pr G AF V,Pr G EC L,Pr G EC  V,Pr TA L,Pr TA V,Pr TR L,Pr TR V,Pr TA ARB,Pr TR ARB
17,19/08/2016,1,Málaga,Osasuna,1-1,1,1,0,E,0,Jaime Latre,2,3,0,0,"[""55'""]",['Juanpi Añor '],"[""84'""]",['Fran Mérida '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,19/08/2016,1,DeportivodeLaCoruña,Eibar,2-1,2,1,1,L,0,Melero López,3,3,0,0,"[""68'"", ""87'""]","['Mosquera ', 'Lucas Pérez ']","[""55'""]",['Ramis '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,20/08/2016,1,Barcelona,Betis,6-2,6,2,0,L,0,Undiano Mallenco,1,3,0,0,"[""6'"", ""37'"", ""42'"", ""56'"", ""58'"", ""81'""]","['Arda Turan ', 'Messi ', 'Luis Suárez ', 'Luis Suárez ', 'Messi ', 'Luis Suárez ']","[""21'"", ""83'""]","['Rubén Castro ', 'Rubén Castro ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,20/08/2016,1,Granada,Villarreal,1-1,1,1,0,E,0,Estrada Fernández,2,3,0,0,"[""64'""]",['Ponce '],"[""61'""]",['Samu Castillejo '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,20/08/2016,1,Sevilla,Espanyol,6-4,6,4,0,L,0,González González,2,2,0,0,"[""15'"", ""21'"", ""44'"", ""53'"", ""65'"", ""73'""]","['Sarabia ', 'Vietto ', 'Vietto ', 'Vázquez ', 'Ben Yedder ', 'Kiyotake ']","[""7'"", ""25'"", ""43'"", ""78'""]","['Piatti ', 'Hernán Pérez ', 'Víctor Sánchez ', 'Gerard Moreno ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,21/08/2016,1,SportingdeGijón,AthleticClub,2-1,2,1,0,L,0,Clos Gómez,3,3,0,0,"[""50'"", ""53'""]","['op ', 'Víctor Rodríguez ']","[""85'""]",['Viguera '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,21/08/2016,1,RealSociedad,RealMadrid,0-3,0,3,0,V,0,Martínez Munuera,2,3,0,0,[],[],"[""2'"", ""40'"", ""89'""]","['Bale ', 'Asensio ', 'Bale ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,21/08/2016,1,AtléticodeMadrid,Alavés,1-1,1,1,1,E,0,Iglesias Villanueva,0,4,0,0,"[""93'""]",['Gameiro '],"[""95'""]",['Manu García '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,22/08/2016,1,CeltadeVigo,Leganés,0-1,0,1,0,V,0,Munuera Montero,4,1,0,1,[],[],"[""74'""]",['Víctor Díaz '],0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,22/08/2016,1,Valencia,LasPalmas,2-4,2,4,0,V,1,Bikandi Garrido,2,2,0,0,"[""5'"", ""33'""]","['Santi Mina ', 'Santi Mina ']","[""15'"", ""24'"", ""30'"", ""87'""]","['Livaja ', 'Jonathan Viera ', 'Boateng ', 'Livaja ']",0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,28/08/2016,2,Villarreal,Sevilla,0-0,0,0,0,E,0,Del Cerro Grande,1,3,0,0,[],[],[],[],1,3,13,4,,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
